zPosition, Void, BoronCon, Pressure, TempVap, TempLiq, TempFuelC, TempStru, VelzVap, VelzLiq, Time
 3.1100E-02, 9.9927E-06, 0.0000E+00, 7.2131E+06, 2.8787E+02, 2.7036E+02, 3.2023E+02, 2.7676E+02, 1.2896E+00, 1.2896E+00, 5.2816E+01
 9.3300E-02, 9.9853E-06, 0.0000E+00, 7.2126E+06, 2.8786E+02, 2.7071E+02, 3.2055E+02, 2.7711E+02, 1.2907E+00, 1.2907E+00, 5.2816E+01
 1.5550E-01, 9.9779E-06, 0.0000E+00, 7.2120E+06, 2.8786E+02, 2.7107E+02, 3.2088E+02, 2.7746E+02, 1.2918E+00, 1.2918E+00, 5.2816E+01
 2.1770E-01, 9.9705E-06, 0.0000E+00, 7.2115E+06, 2.8785E+02, 2.7143E+02, 3.2121E+02, 2.7781E+02, 1.2928E+00, 1.2928E+00, 5.2816E+01
 2.7990E-01, 9.9631E-06, 0.0000E+00, 7.2110E+06, 2.8785E+02, 2.7178E+02, 3.2154E+02, 2.7816E+02, 1.2939E+00, 1.2939E+00, 5.2816E+01
 3.4210E-01, 9.9557E-06, 0.0000E+00, 7.2104E+06, 2.8784E+02, 2.7214E+02, 3.2186E+02, 2.7851E+02, 1.2950E+00, 1.2950E+00, 5.2816E+01
 4.0430E-01, 9.9483E-06, 0.0000E+00, 7.2099E+06, 2.8784E+02, 2.7249E+02, 3.2219E+02, 2.7886E+02, 1.2960E+00, 1.2960E+00, 5.2816E+01
 4.6650E-01, 9.9408E-06, 0.0000E+00, 7.2094E+06, 2.8783E+02, 2.7285E+02, 3.2252E+02, 2.7921E+02, 1.2971E+00, 1.2971E+00, 5.2816E+01
 5.2870E-01, 9.9334E-06, 0.0000E+00, 7.2088E+06, 2.8783E+02, 2.7320E+02, 3.2284E+02, 2.7955E+02, 1.2982E+00, 1.2982E+00, 5.2816E+01
 5.9090E-01, 9.9259E-06, 0.0000E+00, 7.2083E+06, 2.8782E+02, 2.7355E+02, 3.2316E+02, 2.7990E+02, 1.2993E+00, 1.2993E+00, 5.2816E+01
 6.5310E-01, 9.9184E-06, 0.0000E+00, 7.2077E+06, 2.8782E+02, 2.7391E+02, 3.2349E+02, 2.8025E+02, 1.3004E+00, 1.3004E+00, 5.2816E+01
 7.1530E-01, 9.9109E-06, 0.0000E+00, 7.2072E+06, 2.8781E+02, 2.7426E+02, 3.2381E+02, 2.8059E+02, 1.3015E+00, 1.3015E+00, 5.2816E+01
 7.7750E-01, 9.9034E-06, 0.0000E+00, 7.2067E+06, 2.8781E+02, 2.7461E+02, 3.2413E+02, 2.8094E+02, 1.3026E+00, 1.3026E+00, 5.2816E+01
 8.3970E-01, 9.8959E-06, 0.0000E+00, 7.2061E+06, 2.8780E+02, 2.7496E+02, 3.2445E+02, 2.8128E+02, 1.3037E+00, 1.3037E+00, 5.2816E+01
 9.0190E-01, 9.8883E-06, 0.0000E+00, 7.2056E+06, 2.8780E+02, 2.7531E+02, 3.2478E+02, 2.8163E+02, 1.3048E+00, 1.3048E+00, 5.2816E+01
 9.6410E-01, 9.8808E-06, 0.0000E+00, 7.2051E+06, 2.8779E+02, 2.7566E+02, 3.2510E+02, 2.8197E+02, 1.3059E+00, 1.3059E+00, 5.2816E+01
 1.0263E+00, 9.8732E-06, 0.0000E+00, 7.2045E+06, 2.8779E+02, 2.7601E+02, 3.2541E+02, 2.8232E+02, 1.3070E+00, 1.3070E+00, 5.2816E+01
 1.0885E+00, 9.8656E-06, 0.0000E+00, 7.2040E+06, 2.8778E+02, 2.7636E+02, 3.2573E+02, 2.8266E+02, 1.3081E+00, 1.3081E+00, 5.2816E+01
 1.1507E+00, 9.8580E-06, 0.0000E+00, 7.2035E+06, 2.8778E+02, 2.7671E+02, 3.2605E+02, 2.8300E+02, 1.3092E+00, 1.3092E+00, 5.2816E+01
 1.2129E+00, 9.8504E-06, 0.0000E+00, 7.2029E+06, 2.8777E+02, 2.7706E+02, 3.2637E+02, 2.8334E+02, 1.3103E+00, 1.3103E+00, 5.2816E+01
 1.2751E+00, 9.8428E-06, 0.0000E+00, 7.2024E+06, 2.8777E+02, 2.7740E+02, 3.2669E+02, 2.8368E+02, 1.3115E+00, 1.3115E+00, 5.2816E+01
 1.3373E+00, 9.8351E-06, 0.0000E+00, 7.2019E+06, 2.8776E+02, 2.7775E+02, 3.2700E+02, 2.8402E+02, 1.3126E+00, 1.3126E+00, 5.2816E+01
 1.3995E+00, 9.8275E-06, 0.0000E+00, 7.2013E+06, 2.8776E+02, 2.7810E+02, 3.2732E+02, 2.8436E+02, 1.3137E+00, 1.3137E+00, 5.2816E+01
 1.4617E+00, 9.8198E-06, 0.0000E+00, 7.2008E+06, 2.8775E+02, 2.7844E+02, 3.2763E+02, 2.8470E+02, 1.3149E+00, 1.3149E+00, 5.2816E+01
 1.5239E+00, 9.8122E-06, 0.0000E+00, 7.2003E+06, 2.8775E+02, 2.7878E+02, 3.2794E+02, 2.8504E+02, 1.3160E+00, 1.3160E+00, 5.2816E+01
