zPosition, Void, BoronCon, Pressure, TempVap, TempLiq, TempFuelC, TempStru, VelzVap, VelzLiq, Time
 7.6200E-02, 9.9434E-06, 0.0000E+00, 7.1751E+06, 2.8751E+02, 2.8113E+02, 6.5170E+02, 2.9456E+02, 2.1955E+00, 2.1955E+00, 7.8719E+01
 2.2860E-01, 9.8860E-06, 0.0000E+00, 7.1737E+06, 2.8749E+02, 2.8342E+02, 6.5158E+02, 2.9441E+02, 2.2086E+00, 2.2086E+00, 7.8719E+01
 3.8100E-01, 7.6749E-03, 0.0000E+00, 7.1723E+06, 2.8748E+02, 2.8557E+02, 6.5136E+02, 2.9411E+02, 2.2489E+00, 2.2299E+00, 7.8719E+01
 5.3340E-01, 7.0211E-02, 0.0000E+00, 7.1708E+06, 2.8747E+02, 2.8679E+02, 6.5117E+02, 2.9385E+02, 2.4343E+00, 2.3195E+00, 7.8719E+01
 6.8580E-01, 1.5236E-01, 0.0000E+00, 7.1691E+06, 2.8745E+02, 2.8736E+02, 6.5104E+02, 2.9367E+02, 2.7646E+00, 2.5047E+00, 7.8719E+01
 8.3820E-01, 2.3484E-01, 0.0000E+00, 7.1672E+06, 2.8743E+02, 2.8744E+02, 6.5101E+02, 2.9363E+02, 3.1657E+00, 2.7445E+00, 7.8719E+01
 9.9060E-01, 3.0367E-01, 0.0000E+00, 7.1650E+06, 2.8741E+02, 2.8742E+02, 6.5099E+02, 2.9362E+02, 3.6004E+00, 3.0029E+00, 7.8719E+01
 1.1430E+00, 3.6012E-01, 0.0000E+00, 7.1628E+06, 2.8739E+02, 2.8740E+02, 6.5098E+02, 2.9360E+02, 4.0171E+00, 3.2553E+00, 7.8719E+01
 1.2954E+00, 4.0759E-01, 0.0000E+00, 7.1604E+06, 2.8737E+02, 2.8737E+02, 6.5097E+02, 2.9358E+02, 4.4211E+00, 3.4987E+00, 7.8719E+01
 1.4478E+00, 4.4828E-01, 0.0000E+00, 7.1579E+06, 2.8734E+02, 2.8735E+02, 6.5095E+02, 2.9356E+02, 4.8161E+00, 3.7351E+00, 7.8719E+01
 1.6002E+00, 4.8369E-01, 0.0000E+00, 7.1552E+06, 2.8732E+02, 2.8732E+02, 6.5094E+02, 2.9354E+02, 5.2044E+00, 3.9658E+00, 7.8719E+01
 1.7526E+00, 5.1488E-01, 0.0000E+00, 7.1524E+06, 2.8729E+02, 2.8730E+02, 6.5092E+02, 2.9352E+02, 5.5875E+00, 4.1919E+00, 7.8719E+01
 1.9050E+00, 5.4262E-01, 0.0000E+00, 7.1494E+06, 2.8726E+02, 2.8727E+02, 6.5091E+02, 2.9350E+02, 5.9664E+00, 4.4141E+00, 7.8719E+01
 2.0574E+00, 5.6751E-01, 0.0000E+00, 7.1463E+06, 2.8723E+02, 2.8724E+02, 6.5089E+02, 2.9347E+02, 6.3418E+00, 4.6330E+00, 7.8719E+01
 2.2098E+00, 5.9001E-01, 0.0000E+00, 7.1430E+06, 2.8720E+02, 2.8721E+02, 6.5087E+02, 2.9345E+02, 6.7145E+00, 4.8491E+00, 7.8719E+01
 2.3622E+00, 6.1046E-01, 0.0000E+00, 7.1396E+06, 2.8717E+02, 2.8717E+02, 6.5085E+02, 2.9342E+02, 7.0848E+00, 5.0627E+00, 7.8719E+01
 2.5146E+00, 6.2916E-01, 0.0000E+00, 7.1360E+06, 2.8714E+02, 2.8714E+02, 6.5083E+02, 2.9340E+02, 7.4531E+00, 5.2741E+00, 7.8719E+01
 2.6670E+00, 6.4634E-01, 0.0000E+00, 7.1323E+06, 2.8710E+02, 2.8711E+02, 6.5081E+02, 2.9337E+02, 7.8198E+00, 5.4837E+00, 7.8719E+01
 2.8194E+00, 6.6220E-01, 0.0000E+00, 7.1285E+06, 2.8706E+02, 2.8707E+02, 6.5079E+02, 2.9334E+02, 8.1851E+00, 5.6916E+00, 7.8719E+01
 2.9718E+00, 6.7689E-01, 0.0000E+00, 7.1245E+06, 2.8702E+02, 2.8703E+02, 6.5076E+02, 2.9331E+02, 8.5492E+00, 5.8980E+00, 7.8719E+01
 3.1242E+00, 6.9054E-01, 0.0000E+00, 7.1203E+06, 2.8699E+02, 2.8699E+02, 6.5074E+02, 2.9327E+02, 8.9124E+00, 6.1031E+00, 7.8719E+01
 3.2766E+00, 7.0327E-01, 0.0000E+00, 7.1161E+06, 2.8694E+02, 2.8695E+02, 6.5072E+02, 2.9324E+02, 9.2747E+00, 6.3070E+00, 7.8719E+01
 3.4290E+00, 7.1518E-01, 0.0000E+00, 7.1117E+06, 2.8690E+02, 2.8691E+02, 6.5069E+02, 2.9321E+02, 9.6363E+00, 6.5099E+00, 7.8719E+01
 3.5814E+00, 7.2630E-01, 0.0000E+00, 7.1071E+06, 2.8686E+02, 2.8686E+02, 6.5066E+02, 2.9317E+02, 9.9977E+00, 6.7113E+00, 7.8719E+01
 3.7338E+00, 7.3711E-01, 0.0000E+00, 7.1024E+06, 2.8681E+02, 2.8682E+02, 6.5064E+02, 2.9314E+02, 1.0357E+01, 6.9160E+00, 7.8719E+01
